#{"t_start": 1779858368.1362972, "env_id": "None"}
r,l,t
-198.987426,300,37.284512
-236.667094,300,76.03478
-46.818529,300,123.21212
-19.16748,236,160.277129
66.133045,41,167.521674
-69.276309,300,216.529694
71.454352,62,227.075691
76.257829,136,250.674935
69.281059,100,268.46854
55.951649,32,274.867293
69.938325,29,281.118666
63.818174,36,287.588882
73.831389,31,293.331899
66.662437,49,303.010661
46.917806,247,351.901119
49.623116,22,356.972971
58.739628,12,359.680656
53.303647,16,363.321619
40.397477,17,366.904686
30.658231,1,367.284428
63.483125,22,371.842628
35.996309,17,375.905067
62.068649,16,379.773203
76.102418,31,387.22488
58.813521,18,391.148406
40.28723,13,394.372619
66.837823,17,398.180077
66.298731,54,410.816383
69.570565,19,414.788182
68.120777,41,423.432105
87.017612,20,428.401452
75.279919,16,432.387102
54.554865,30,438.04759
47.451823,21,442.312967
55.610407,38,451.325987
42.936092,9,453.745253
55.60207,17,457.901433
31.402714,15,460.750304
51.591658,9,463.193573
69.455668,13,467.256605
65.198864,13,470.689785
47.153371,18,474.814867
69.500583,53,486.454264
67.438408,21,490.772735
48.541914,4,492.303425
41.716132,5,493.305654
74.699349,30,501.576599
42.819045,21,507.026306
71.799909,18,511.4431
56.604266,12,514.406984
59.102828,17,518.067031
58.488471,72,535.858309
60.241432,17,540.040725
43.46137,12,543.120494
67.878261,60,558.057872
84.382169,25,564.20728
68.560227,15,568.301275
70.252473,47,579.876286
59.13592,17,584.488697
57.999067,9,586.763912
71.403998,16,591.512898
46.26733,13,595.171479
47.780221,9,597.685165
63.259015,16,601.837141
58.320793,12,604.838786
73.754384,16,609.273152
53.299818,7,611.739834
71.364035,14,615.549311
59.271072,21,620.689813
59.37032,20,625.174379
79.329473,19,631.184745
48.470157,10,633.79142
72.989401,16,637.929375
63.346929,24,645.249843
45.458263,3,646.439836
63.358498,15,651.015696
41.985997,12,653.734766
64.52515,12,656.976561
79.045044,27,664.82071
77.539964,19,670.521713
70.599056,35,679.393661
87.60037,20,684.473921
77.220458,24,690.93789
50.301436,9,694.053175
58.979407,18,698.662361
62.813489,18,703.56283
68.891253,12,707.215539
58.248624,17,712.391701
53.699771,16,716.949929
55.247678,7,719.321932
67.064597,15,722.926581
64.546124,28,730.61093
72.945581,21,736.127115
73.649059,12,740.117364
67.209243,17,745.603905
54.565184,15,748.814543
35.024922,2,749.569417
43.07605,8,751.554263
48.640585,14,755.134837
57.338195,12,758.495575
76.460369,21,765.170004
47.967477,13,768.169994
43.47237,8,770.465819
67.04769,11,773.378992
41.296229,12,775.823503
61.396408,14,779.649732
59.56378,9,782.238585
55.381879,11,785.52745
60.801649,16,789.366331
71.12442,11,792.605886
46.39141,8,795.459795
69.771288,9,798.436786
61.94149,11,801.357562
80.49471,30,809.083823
66.809747,8,811.882165
45.543857,6,813.243854
64.823144,10,816.124864
69.593079,24,823.028043
68.801779,18,828.259564
60.087042,7,830.70634
63.809817,13,833.805622
72.083656,21,839.40924
35.715748,4,840.854622
52.810226,10,843.066575
51.751708,11,846.244492
32.491979,12,849.103344
48.774053,15,853.117672
47.96152,8,855.274155
50.998795,6,856.9646
62.324143,12,860.808119
54.990728,11,864.232863
66.134688,11,868.044853
31.180909,1,868.37549
57.826136,10,871.604042
68.842305,17,875.2455
40.630841,4,876.591062
52.446221,16,881.119865
46.343357,10,883.822937
61.789208,13,888.547474
71.501303,22,894.628413
75.693396,22,900.227301
63.234202,15,904.515092
63.284617,10,907.530457
36.015819,2,908.396019
77.128927,17,913.098819
66.523315,12,917.071821
72.386871,21,922.516883
61.392094,11,925.80632
71.280592,18,931.27158
31.25974,20,936.786441
63.954157,15,940.973327
55.898684,18,945.597311
49.9055,10,948.81193
53.787884,8,950.663849
70.822623,16,954.64185
74.994642,24,961.306478
69.936806,17,966.449759
74.161186,17,971.15568
64.54293,10,975.006207
69.645246,15,979.16203
37.397414,3,980.125295
52.285557,13,983.81279
70.034399,22,990.452491
49.501614,12,994.032027
71.847857,13,997.729444
66.236973,15,1002.359602
47.615471,8,1005.194066
50.777287,12,1008.471583
51.014811,7,1010.57541
45.208264,4,1011.670037
80.751848,16,1016.943223
35.818823,4,1017.895193
50.559239,14,1021.566276
40.808032,7,1023.393523
67.169872,17,1028.339013
71.760744,17,1032.90241
65.536232,12,1036.684588
60.164661,13,1040.415821
62.476592,11,1043.505361
60.031991,24,1049.906041
55.875652,18,1055.195549
65.700277,12,1058.630063
54.693344,6,1060.571985
62.312342,21,1066.682567
85.651799,29,1074.111253
61.078564,15,1078.420434
73.612415,24,1084.501118
66.641698,20,1089.828128
57.980911,9,1092.686372
