rollout/n_episodes,reward/success_reward,rollout/workspace_violation_rate,train/actor_loss,reward/detour_penalty,rollout/all_expected_path_length_mean,reward/workspace_penalty,rollout/collision_rate,rollout/all_actual_path_length_mean,reward/action_norm_penalty,time/time_elapsed,train/critic_loss,reward/smoothness_penalty,time/total_timesteps,train/learning_rate,reward/distance_penalty,rollout/success_rate,reward/path_efficiency_bonus,reward/path_length_penalty,reward/backtrack_penalty,train/n_updates,reward/progress_reward,reward/direction_penalty,time/fps,time/episodes,rollout/ep_len_mean,rollout/reward_steps,rollout/max_steps_rate,rollout/action_norm_mean,reward/step_penalty,reward/collision_penalty,rollout/ep_rew_mean,rollout/distance_improvement_mean,rollout/success_expected_path_length_mean,rollout/success_actual_path_length_mean,rollout/success_path_efficiency_percent_mean
5,0.0,0.8,5.226756572723389,0.0,0.47212928533554077,-0.2909090909090909,0.0,1.963399427011609,0.0,8,0.9152836203575134,0.0,17316,0.0003,-4.03397497643124,0.0,0.0,0.0,0.0,609,0.0,0.0,2071,50,302.26,17875,0.2,0.7139634435203942,0.0,0.0,-928.4103240999998,0.1316375583410263,,,
,,,10.976839065551758,,,,,,,41,0.3120938539505005,,41916,0.0003,,0.0,,,,2659,,,1002,100,392.36,,,,,,-752.0518831000002,,,,
10,0.0,0.4,14.514738082885742,0.0,0.3878575965762138,-0.1032258064516129,0.0,1.6367855247241097,0.0,72,0.2847912311553955,0.0,67068,0.0003,-2.305691627369773,0.0,0.0,0.0,0.0,4755,0.0,0.0,921,150,491.23,50375,0.6,0.4223962736961342,0.0,0.0,-497.40522864999997,0.15112816616892816,,,
15,0.0,0.26666666666666666,16.22441864013672,0.0,0.35570261081059773,-0.06274509803921569,0.0,1.4837770406709752,0.0,103,0.27321839332580566,0.0,91128,0.0003,-1.6824890448795815,0.01,0.0,0.0,0.0,6760,0.0,0.0,876,200,495.25,82875,0.7333333333333333,0.34912401719405955,0.0,0.0,-341.88818306,0.17404739732543628,,,
20,0.0,0.2,16.61503791809082,0.0,0.3772915378212929,-0.04507042253521127,0.0,1.4267240528595722,0.0,131,0.25310635566711426,0.0,110112,0.0003,-1.3583516042091897,0.21,0.0,0.0,0.0,8342,0.0,0.0,839,250,438.91,115375,0.8,0.3215152865701788,0.0,0.0,-192.11985682000002,0.23050250788219273,,,
,,,15.877228736877441,,,,,,,154,0.21160736680030823,,127068,0.0003,,0.49,,,,9755,,,821,300,349.47,,,,,,-94.85196021,,,,
25,0.01850994909763998,0.16,16.166799545288086,0.0,0.36238044515252116,-0.03701989819527996,0.0,1.3294770390648045,0.0,172,0.29826289415359497,0.0,139800,0.0003,-1.1907930514740308,0.6,0.0,0.0,0.0,10816,0.0,0.0,809,350,296.38,140465,0.76,0.30760691068171836,0.0,0.0,-70.05237245999999,0.23841265438124537,0.4900570958852768,0.8183175306985504,58.63419728619951
30,0.041670139178264856,0.13333333333333333,13.693138122558594,0.0,0.37432397219041985,-0.033336111342611885,0.0,1.2458574079008637,0.0,203,0.29905009269714355,0.0,159828,0.0003,-1.1396882346814885,0.4,0.0,0.0,0.0,12485,0.0,0.0,786,400,332.53,155987,0.7,0.3114903162656775,0.0,0.0,-127.03164772,0.2657969253603369,0.47058844566345215,0.6402123709762236,76.04745855512623
35,0.04291231583464454,0.14285714285714285,12.089238166809082,0.0,0.35894686760646954,-0.03576026319553712,0.0,1.2096229078769933,0.0,222,0.4355570077896118,0.0,172128,0.0003,-1.0570223225050044,0.46,0.0,0.0,0.0,13510,0.0,0.0,774,450,321.56,181766,0.6857142857142857,0.30279504142578,0.0,0.0,-122.39653295,0.25932546916550825,0.4443052013715108,0.6534573741494872,70.61887898039514
,,,12.965517044067383,,,,,,,227,0.4176071584224701,,175776,0.0003,,0.85,,,,13814,,,773,500,178.86,,,,,,-11.81936217,,,,
,,,11.403031349182129,,,,,,,234,0.6140350103378296,,180888,0.0003,,0.97,,,,14240,,,771,550,96.87,,,,,,34.29692275,,,,
40,0.05908613445378151,0.125,10.679104804992676,0.0,0.3680670333094895,-0.03282563025210084,0.0,1.1677912609511623,0.0,245,0.8978784084320068,0.0,188064,0.0003,-1.0202333946644937,0.94,0.0,0.0,0.0,14838,0.0,0.0,767,600,116.45,198016,0.65,0.306667879759065,0.0,0.0,22.957505219999998,0.27734193817013875,0.3996764239337709,0.5781798875395907,72.81602520938011
45,0.08113843465235301,0.1111111111111111,8.885019302368164,0.0,0.3590196183158292,-0.031207090250905005,0.0,1.100985185823164,0.0,271,53.925506591796875,0.0,205404,0.0003,-0.9979202052673776,0.69,0.0,0.0,0.0,16283,0.0,0.0,756,650,235.28,208286,0.6,0.3092269032273775,0.0,0.0,-49.423522350000006,0.2752273820444114,0.3492843680656873,0.5022701980823723,72.24721962340087
50,0.07753655294638902,0.1,4.541473388671875,0.0,0.3561664889007807,-0.02769162605228179,0.0,1.1056249827775173,0.0,302,0.7431305646896362,0.0,226548,0.0003,-0.9393443484752145,0.33,0.0,0.0,0.0,18045,0.0,0.0,750,700,377.79,234728,0.62,0.30616554242190913,0.0,0.0,-160.94685656,0.2759647531155497,0.34813368214028223,0.4939669527437737,73.25164457397479
55,0.08050314465408805,0.09090909090909091,2.1365933418273926,0.0,0.35111397105184466,-0.025157232704402517,0.0,1.0971086859494046,0.0,320,67.28762817382812,0.0,238500,0.0003,-0.8964910987176516,0.46,0.0,0.0,0.0,19041,0.0,0.0,745,750,332.44,258375,0.6181818181818182,0.30360241023010615,0.0,0.0,-121.00795431000002,0.2748271462338215,0.33970936574041843,0.5026531592884567,72.48763318277302
60,0.10396554284865588,0.08333333333333333,0.7359150648117065,0.0,0.35163829009979963,-0.0247537006782514,0.0,1.0442515893376063,0.0,331,61.89923858642578,0.0,246576,0.0003,-0.8999224463797716,0.8,0.0,0.0,0.0,19714,0.0,0.0,743,800,196.15,262587,0.5666666666666667,0.3101891019846852,0.0,0.0,-17.30856616,0.2800088995679592,0.3439228023801531,0.49316991341211613,74.81230427316767
65,0.12488592151400163,0.07692307692307693,0.22521325945854187,0.0,0.3472445823252201,-0.024016523368077237,0.0,1.005476544162957,0.0,338,0.6365265250205994,0.0,251040,0.0003,-0.8913515178530366,0.92,0.0,0.0,0.0,20086,0.0,0.0,742,850,140.8,270647,0.5230769230769231,0.31392466867801294,0.0,0.0,10.779376139999997,0.2794913474398737,0.3344222805820979,0.5022095458457793,74.84648680926753
,,,-2.3445637226104736,,,,,,,341,1.143800139427185,,254280,0.0003,,0.98,,,,20356,,,743,900,101.67,,,,,,31.27032997,,,,
,,,-3.3982765674591064,,,,,,,344,59.94091796875,,256248,0.0003,,1.0,,,,20520,,,743,950,58.68,,,,,,45.04233697000001,,,,
