#{"t_start": 1778231542.2437344, "env_id": "RobotReachPyBullet-Default-v0"}
r,l,t
-22.100297,49,1.830725
-79.442057,160,3.757551
-35.090197,87,5.011813
-14.683492,41,5.605886
-16.689148,41,6.079362
-18.265904,41,6.554608
-106.227934,311,10.147151
-52.316685,143,11.821033
-8.115414,24,12.129244
-7.770102,30,12.510897
-8.392336,20,12.779207
-7.626015,19,13.020465
-9.235962,18,13.259849
-6.393004,18,13.494873
-6.923621,18,13.724287
-8.473996,18,13.96199
-10.379867,22,14.242237
-10.612025,18,14.473543
-8.872832,18,14.710347
-9.385861,18,14.927899
-9.080272,18,15.165092
-10.561265,33,15.561461
-10.778647,30,15.917548
-8.781699,18,16.130031
-6.900764,18,16.39532
-8.570061,28,16.736474
-5.166931,21,16.985742
-12.557652,54,17.661936
-22.308619,111,18.992269
-28.179076,52,19.622978
-38.615014,144,21.379169
-31.945574,112,22.732841
-14.348136,55,23.426289
-11.980531,37,23.88013
-6.401123,27,24.199526
-10.006982,39,24.683864
-39.374555,111,26.08695
-13.015473,45,26.622551
-7.607516,27,26.943697
-4.705386,22,27.211701
-5.605208,25,27.53062
-11.700124,36,27.966609
-28.15763,66,28.761605
-7.429134,26,29.080188
-7.299978,26,29.423595
-6.730196,27,29.756526
-24.386708,59,30.467659
-5.569449,24,30.755891
-22.542965,64,31.549384
-8.36394,36,31.97973
-14.202232,47,32.56189
-12.482307,54,33.210077
-21.338724,111,34.549404
-22.149418,78,35.542417
-21.636027,72,36.40907
-34.035475,114,37.78855
-98.816633,500,43.915768
-36.350868,157,45.879389
-17.188529,68,46.692678
-13.816176,62,47.439241
-109.528132,500,53.508918
-86.419502,500,59.650067
-67.583136,500,80.871922
-48.0111,363,85.126147
-33.138127,226,87.757995
-18.590164,102,88.929168
-19.34259,86,89.918481
-21.775952,124,91.362128
-18.189954,87,92.374113
-33.667273,195,94.62944
-104.973242,448,99.885712
-66.366678,500,105.707971
-12.431993,77,106.595726
-43.845777,276,109.986877
-19.300319,140,111.683501
-19.425499,73,112.569499
-23.398279,130,114.150352
-39.758591,500,120.268329
-72.548651,297,123.892046
-9.854835,51,124.517209
-48.787495,500,130.667574
-46.994972,500,136.788754
-36.168101,228,145.88848
-19.861691,116,147.228544
-30.643779,222,149.834768
-8.337197,43,150.33208
-20.002686,93,151.393564
-24.331249,275,154.624389
-25.269103,173,156.610579
-61.069673,500,162.479376
-13.237057,86,163.480939
-69.34377,473,168.992887
-117.848771,500,175.048668
-58.004284,500,181.192373
-12.495577,80,182.16119
-47.861518,500,188.25105
-50.183232,500,194.385249
-2.819778,61,195.138745
-39.434289,419,200.329236
-51.230545,500,215.180396
-8.916056,127,216.655237
-16.965338,360,221.09659
-14.129042,103,222.346571
-30.590362,303,226.044076
-12.167268,53,226.753732
-24.537173,195,229.15567
-24.079003,172,231.250972
-38.302338,500,237.420748
-44.327576,317,241.348473
-43.956135,500,247.531217
-47.166274,500,253.707842
-20.182753,68,254.540219
-56.456382,500,260.634019
-31.589245,414,265.695977
-19.733238,76,266.623563
-54.834687,500,272.755416
-55.102721,500,283.775206
-16.005679,57,284.44131
-18.907425,68,285.23453
-10.135952,49,285.791004
-3.806657,68,286.584854
-33.313067,500,292.752582
-15.797001,60,293.483484
-31.218612,500,299.586952
-16.459327,490,305.714929
-21.44852,92,306.864976
-14.282903,479,312.86142
-27.635543,500,319.195832
-40.681441,229,322.055559
5.480425,47,322.642054
-27.187668,97,323.862478
-42.979918,500,330.20781
-45.318322,500,336.293723
-14.500146,114,337.667736
-7.307194,179,339.889924
-37.869046,248,351.723618
-89.984614,500,357.474524
-13.802954,62,358.186352
-29.998055,500,363.996439
-31.865105,500,369.79699
-22.570261,77,370.71018
-22.546626,99,371.852068
-38.397171,500,377.667411
-32.221657,451,382.899262
-15.979622,120,384.286282
-42.526837,500,390.308083
-35.755127,500,396.378999
-46.273731,500,402.436079
-11.502917,308,406.252337
-35.632569,500,418.124515
-26.103539,500,423.971497
-58.940107,500,430.184832
-12.810985,56,430.876042
-16.810177,221,433.669781
-23.494157,84,434.719517
3.853727,91,435.839254
-13.334807,61,436.575299
-16.756118,314,440.311734
-11.094183,47,440.852806
-10.213985,48,441.398155
-14.631615,65,442.215659
-59.995723,500,447.95886
-78.738539,500,453.740899
-85.358877,500,459.454056
-68.730122,500,465.225831
-37.552001,500,470.938784
-55.430394,500,483.439425
-50.008424,500,488.895335
-5.451225,37,489.299251
-29.378554,200,491.532705
-34.00311,270,494.614633
-6.380914,154,496.371518
-15.778598,458,501.661763
-12.688643,451,506.823123
-10.462108,68,507.602371
-46.146006,500,513.363088
-24.424358,67,514.130656
-19.176847,105,515.333425
-54.149599,500,521.116867
-0.09396,82,522.065317
-17.25533,243,524.852207
-3.254176,70,525.652411
-47.464014,500,531.427737
-15.17371,123,532.833362
-15.213329,62,533.539889
-11.980538,263,536.535737
-36.401267,462,547.969847
-16.767808,107,549.135581
-50.738337,500,554.667711
-15.533481,57,555.292442
-39.921729,500,560.813805
-0.294859,77,561.659821
-13.981531,72,562.441983
-20.55314,89,563.415983
-11.969335,59,564.064729
-14.050997,63,564.752858
-2.445192,115,566.008163
-20.17712,76,566.835085
-27.959923,500,572.286143
-15.423617,67,573.01772
-13.207735,268,575.946358
-27.185869,500,581.598905
-5.25094,291,584.929694
-15.270152,60,585.611963
-22.105896,500,591.374208
-16.858956,73,592.205751
-8.641603,173,594.168195
-5.131868,219,596.676462
-1.386444,118,598.029134
1.866627,110,599.337906
-20.44261,80,604.264704
-39.072885,500,609.785893
-35.807176,500,615.244244
-0.341845,65,615.977584
-3.371048,74,616.785537
-8.801361,126,618.162727
-13.402958,56,618.826211
-17.081921,230,621.435776
-3.52781,81,622.35851
-18.349314,145,624.010105
-4.726275,117,625.366623
-24.182259,294,628.762407
-20.513575,102,629.946869
0.116388,79,630.84425
2.148207,63,631.575781
-9.379652,428,636.537098
3.026915,97,637.663906
-4.583847,69,638.457441
-19.968007,61,639.198298
-15.99734,466,644.564922
-15.507702,147,646.258252
-5.681225,93,647.314743
-5.792553,99,648.451707
-2.322776,52,649.0538
-12.754643,50,649.697895
3.897047,78,650.588164
-2.712286,294,653.969151
-6.887506,262,656.969192
-1.556752,67,657.749325
-14.297406,103,658.940068
-2.968918,103,660.198414
-22.973505,381,669.047821
-16.32487,62,669.720102
3.333246,37,670.185907
-23.262388,500,675.703742
-14.597465,64,676.404112
-9.178211,22,676.642497
-3.791054,224,679.089421
-21.987269,500,684.604836
-2.738512,85,685.532455
-35.105137,347,689.383715
-24.505104,500,694.893296
-26.090079,500,700.371717
-11.834095,316,703.823798
-6.588536,411,708.331452
-1.295669,77,709.188282
-30.568352,500,714.738803
-13.073164,64,715.441204
-12.856352,57,716.063435
-10.346285,315,719.560921
-15.755838,309,727.116607
-14.574143,51,727.674766
-13.370877,46,728.17232
-16.068578,500,733.812656
-6.731256,20,734.039075
3.113542,60,734.723318
-19.907089,130,736.235436
-10.897707,136,737.794857
-14.417557,65,738.560561
-49.752356,198,741.075565
-20.317333,84,742.214641
-15.402659,76,743.181159
-13.777128,347,747.422218
-0.186871,67,748.194315
-8.78563,394,752.853589
-30.162028,500,758.62883
-8.521102,405,763.458509
-49.500788,261,766.582489
-31.447159,146,768.292206
-7.281902,129,769.774238
-1.17533,82,770.775498
2.899606,74,771.627012
-1.887993,87,772.620089
-12.142523,58,773.291392
-7.997493,57,773.942693
-3.891991,108,775.173039
-0.228559,152,776.934201
-37.061225,500,782.707927
-13.973349,73,790.504008
-7.938831,122,791.889074
-18.041604,74,792.707932
-38.130082,307,796.073112
-27.389005,500,801.543865
-1.496233,99,802.677694
-0.033927,85,803.606821
-3.442056,102,804.725673
4.364614,48,805.253356
-3.817344,85,806.18646
3.897853,66,806.913596
-0.506658,44,807.396056
-0.531193,86,808.341843
-14.297273,66,809.061026
-3.616008,132,810.507462
-20.345555,74,811.31983
-41.795375,500,816.846964
-29.495626,500,822.359418
-5.143645,68,823.169368
-7.790337,323,826.766133
-18.516302,73,827.587305
-28.891759,500,833.112403
-93.979407,500,838.626027
-22.794409,500,844.115664
-64.872271,500,852.715839
-17.184153,42,853.189421
-105.968954,500,858.897592
0.273519,147,860.590713
-33.786964,444,865.706582
-17.122074,83,866.655779
-33.866871,500,872.388452
-5.858726,119,873.743919
-11.702852,61,874.503462
-1.315383,72,875.326047
5.664074,59,875.996221
-1.848562,69,876.784439
0.214424,45,877.29413
-13.286365,126,878.748218
-21.427378,500,884.49377
0.559214,89,885.56393
-19.195317,65,886.315051
1.052617,45,886.824542
-8.676187,83,887.785874
6.077005,28,888.10443
-11.389142,110,889.359243
5.380262,30,889.710562
-5.390163,200,892.007638
-26.642271,138,893.586123
-11.056256,89,894.606845
3.614822,34,894.995874
-7.791324,128,896.502515
-19.965093,500,902.219665
-5.556489,73,903.069106
2.675091,40,903.530915
3.392734,159,905.360058
-21.972028,242,911.099161
-20.525311,500,916.583955
-14.975621,500,922.109983
4.439942,34,922.483464
-60.019972,500,927.956241
-14.428492,66,928.724879
-4.6047,128,930.120147
2.311618,42,930.590697
-29.211011,105,931.737444
-13.631021,137,933.231104
4.19518,33,933.590072
-13.463222,63,934.276227
-1.406083,106,935.434515
-2.426063,144,937.016795
3.919282,140,938.563348
4.374458,101,939.72161
-24.675684,430,944.427718
2.200446,62,945.119273
-3.050891,78,945.978097
0.771774,63,946.666012
-8.113475,101,947.775053
-21.787548,132,949.219667
-10.892943,117,950.555639
-25.533736,108,951.774287
-20.530434,84,952.73857
-7.604852,178,954.772911
-0.523679,60,955.45445
-36.987669,171,957.422791
-2.319842,98,958.536534
-0.815705,94,959.613633
4.270681,69,960.406525
3.260537,86,961.386168
2.548526,39,961.875548
-2.479545,94,962.950826
-1.658569,111,964.211963
-8.099812,134,968.23508
-2.050882,85,969.175952
-5.657272,118,970.478425
