train/learning_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/critic_loss,rollout/success_rate,time/episodes,time/fps,time/total_timesteps
0.001,92.7,10,-36.070123,1.4783551692962646,826,0.004521411843597889,0.0,10,84,927
0.001,55.7,13,-22.349837450000003,1.537048101425171,1013,0.00540348282083869,0.0,20,83,1114
0.001,49.9,18,-18.99605783333333,1.869765281677246,1396,0.011266585439443588,0.0,30,83,1497
0.001,52.9,25,-18.697050625000003,2.2894723415374756,2015,0.007839706726372242,0.0,40,82,2116
0.001,50.1,30,-17.513347139999997,2.5483999252319336,2404,0.004156135022640228,0.0,50,82,2505
0.001,62.8,45,-19.461395766666666,2.795520782470703,3667,0.008025242947041988,0.0,60,82,3768
0.001,92.15714285714286,93,-23.198995371428566,2.8285903930664062,6350,0.0018125791102647781,0.0,70,69,6451
0.001,111.7875,122,-25.44791925,2.452793598175049,8842,0.00405912334099412,0.0,80,72,8943
0.001,128.8111111111111,160,-26.192216511111116,2.037827253341675,11492,0.002013634890317917,0.0,90,72,11593
0.001,152.12,213,-28.197583069999997,1.8448712825775146,15111,0.002802327973768115,0.01,100,71,15212
0.001,169.15,245,-27.170273679999994,1.6760715246200562,17741,0.0030819731764495373,0.03,110,72,17842
0.001,194.6,284,-29.60846205,0.9668918251991272,20473,0.009485584683716297,0.04,120,72,20574
0.001,220.42,321,-30.371238649999995,-0.19287730753421783,23438,0.007571028079837561,0.08,130,73,23539
0.001,246.23,368,-31.99936597,-1.038806676864624,26638,0.027093634009361267,0.1,140,72,26739
0.001,277.89,416,-33.75557783,-1.4078805446624756,30193,0.01755255088210106,0.11,150,72,30294
0.001,284.48,439,-32.69245725,-1.94166100025177,32115,0.02385523170232773,0.14,160,73,32216
0.001,295.67,489,-32.982752690000005,-1.5860488414764404,35917,0.020109867677092552,0.14,170,73,36018
0.001,297.3,520,-31.096755480000006,-1.2705705165863037,38572,0.015308945439755917,0.18,180,74,38673
0.001,294.67,553,-30.179915920000006,-1.2340312004089355,40959,0.022408422082662582,0.22,190,74,41060
0.001,274.66,571,-27.223102139999995,-0.9043178558349609,42577,0.011817893013358116,0.23,200,74,42678
0.001,271.48,597,-25.775127590000007,-1.0496430397033691,44889,0.014459427446126938,0.27,210,75,44990
0.001,262.73,622,-24.075973310000006,-1.1427417993545532,46746,0.021453019231557846,0.31,220,75,46847
0.001,250.84,642,-23.024941299999995,-1.544774055480957,48522,0.01803870126605034,0.35,230,75,48623
0.001,231.29,657,-20.252969099999998,-1.438866138458252,49767,0.124643474817276,0.41,240,75,49868
0.001,215.52,683,-18.363793379999997,-1.4768471717834473,51745,0.024581292644143105,0.45,250,75,51846
0.001,227.17,717,-18.229377799999998,-1.6869274377822876,54832,0.03805772215127945,0.46,260,76,54933
0.001,204.3,739,-14.96024165,-1.687241554260254,56347,0.025103285908699036,0.49,270,76,56448
0.001,201.84,768,-14.581026219999998,-2.1042795181274414,58756,0.055860765278339386,0.51,280,76,58857
0.001,191.1,790,-13.1171832,-2.140775442123413,60069,0.030424924567341805,0.54,290,76,60170
0.001,189.02,805,-12.29535319,-2.5889530181884766,61479,0.04350731894373894,0.59,300,76,61580
0.001,189.12,831,-12.86785556,-2.437230348587036,63801,0.06425309181213379,0.57,310,76,63902
0.001,203.9,872,-15.217469379999997,-2.0963191986083984,67136,0.05198994278907776,0.55,320,77,67237
0.001,197.45,885,-14.889730209999998,-1.963910698890686,68267,0.05591639503836632,0.54,330,77,68368
0.001,198.4,900,-15.011955660000002,-1.9769749641418457,69607,0.032892048358917236,0.53,340,77,69708
0.001,201.04,928,-15.182814660000002,-1.985107421875,71849,0.029669685289263725,0.54,350,77,71950
0.001,183.18,942,-14.160312390000001,-1.756617546081543,73150,0.052694372832775116,0.58,360,77,73251
0.001,177.86,953,-13.52734718,-2.041656494140625,74133,0.0393783338367939,0.62,370,77,74234
